CPT Code,Description of Information of CPTCode
D4273,"autogenous connective tissue graft procedure (including donor and recipient surgical sites) first tooth, implant, or edentulous tooth position in graft"
D4274,"mesial/distal wedge procedure, single tooth (when not performed in conjunction with surgical procedures in the same anatomical area)"
D4275,"non-autogenous connective tissue graft (including recipient site and donor material) first tooth, implant, or edentulous tooth position in graft"
D4276,"combined connective tissue and double pedicle graft, per tooth"
D4277,"free soft tissue graft procedure (including recipient and donor surgical sites) first tooth, implant or edentulous tooth position in graft"
D4278,"free soft tissue graft procedure (including recipient and donor surgical sites) each additional contiguous tooth, implant or edentulous tooth position in same graft site"
D4283,"autogenous connective tissue graft procedure (including donor and recipient surgical sites) - each additional contiguous tooth, implant or edentulous tooth position in same graft site"
D4285,"non-autogenous connective tissue graft procedure (including recipient surgical site and donor material) - each additional contiguous tooth, implant or edentulous tooth position in same graft site"
D4320,provisional splinting - intracoronal
D4321,provisional splinting - extracoronal
D4341,periodontal scaling and root planing - four or more teeth per quadrant
D4342,periodontal scaling and root planing - one to three teeth per quadrant
D4346,"scaling in presence of generalized moderate or severe gingival inflammation - full mouth, after oral evaluation"
D4355,full mouth debridement to enable a comprehensive oral evaluation and diagnosis on a subsequent visit
D4381,"localized delivery of antimicrobial agents via a controlled release vehicle into diseased crevicular tissue, per tooth"
D4910,periodontal maintenance
D4920,unscheduled dressing change (by someone other than treating dentist or their staff)
D4921,gingival irrigation - per quadrant
D4999,"unspecified periodontal procedure, by report"
D5110,complete denture - maxillary
D5120,complete denture - mandibular
D5130,immediate denture - maxillary
D5140,immediate denture - mandibular
D5211,"maxillary partial denture - resin base (including any conventional clasps, rests and teeth)"
D5212,"mandibular partial denture - resin base (including any conventional clasps, rests and teeth)"
D5213,"maxillary partial denture - cast metal framework with resin denture bases (including retentive/clasping materials, rests and teeth)"
D5214,"mandibular partial denture - cast metal framework with resin denture bases (including retentive/clasping materials, rests and teeth)"
D5221,"immediate maxillary partial denture - resin base (including retentive/clasping materials, rests and teeth)"
D5222,"immediate mandibular partial denture - resin base (including retentive/clasping materials, rests and teeth)"
D5223,"immediate maxillary partial denture - cast metal framework with resin denture bases (including retentive/clasping materials, rests and teeth)"
D5224,"immediate mandibular partial denture - cast metal framework with resin denture bases (including retentive/clasping materials, rests and teeth)"
D5225,"maxillary partial denture - flexible base  (including retentive/clasping materials, rests, and teeth)"
D5226,"mandibular partial denture - flexible base (including retentive/clasping materials, rests, and teeth)"
D5281,removable unilateral partial denture - one piece cast metal (including clasps and teeth)
D5282,"removable unilateral partial denture - one piece cast metal (including retentive/clasping materials, rests, and teeth), maxillary"
D5283,"removable unilateral partial denture - one piece cast metal (including rententive/clasping materials, rests, and teeth), mandibular"
D5284,"removable unilateral partial denture - one piece flexible base (including retentive/clasping materials, rests, and teeth) - per quadrant"
D5286,"removable unilateral partial denture - one piece resin (including retentive/clasping materials, rests, and teeth) - per quadrant"
D5410,adjust complete denture - maxillary
D5411,adjust complete denture - mandibular
D5421,adjust partial denture - maxillary
D5422,adjust partial denture - mandibular
D5510,repair broken complete denture base
D5511,"repair broken complete denture base, mandibular"
D5512,"repair broken complete denture base, maxillary"
D5520,replace missing or broken teeth - complete denture (each tooth)
D5610,repair resin denture base
D5611,"repair resin partial denture base, mandibular"
D5612,"repair resin partial denture base, maxillary"
D5620,repair cast framework
D5621,"repair cast partial framework, mandibular"
D5622,"repair cast partial framework, maxillary"
D5630,repair or replace broken retentive clasping materials - per tooth
D5640,replace broken teeth - per tooth
D5650,add tooth to existing partial denture
D5660,add clasp to existing partial denture - per tooth
D5670,replace all teeth and acrylic on cast metal framework (maxillary)
D5671,replace all teeth and acrylic on cast metal framework (mandibular)
D5710,rebase complete maxillary denture
D5711,rebase complete mandibular denture
D5720,rebase maxillary partial denture
D5721,rebase mandibular partial denture
D5730,reline complete maxillary denture (direct)
D5731,reline complete mandibular denture (direct)
D5740,reline maxillary partial denture (direct)
D5741,reline mandibular partial denture (direct)
D5750,reline complete maxillary denture (indirect)
D5751,reline complete mandibular denture (indirect)
D5760,reline maxillary partial denture (indirect)
D5761,reline mandibular partial denture (indirect)
D5810,interim complete denture (maxillary)
D5811,interim complete denture (mandibular)
D5820,"interim partial denture (including retentive/clasping materials, rests, and teeth), maxillary"
D5821,"interim partial denture (including retentive/clasping materials, rests, and teeth), mandibular"
D5850,"tissue conditioning, maxillary"
D5851,"tissue conditioning, mandibular"
D5860,"overdenture - complete, by report"
D5861,"overdenture - partial, by report"
D5862,"precision attachment, by report"
D5863,overdenture - complete maxillary
D5864,overdenture - partial maxillary
D5865,overdenture - complete mandibular
D5866,overdenture - partial mandibular
D5867,replacement of replaceable part of semi-precision or precision attachment (male or female component)
D5875,modification of removable prosthesis following implant surgery
D5876,add metal substructure to acrylic full denture (per arch)
D5899,"unspecified removable prosthodontic procedure, by report"
D5911,facial moulage (sectional)
D5912,facial moulage (complete)
D5913,nasal prosthesis
D5914,auricular prosthesis
D5915,orbital prosthesis
D5916,ocular prosthesis
D5919,facial prosthesis
D5922,nasal septal prosthesis
D5923,"ocular prosthesis, interim"
D5924,cranial prosthesis
D5925,facial augmentation implant prosthesis
D5926,"nasal prosthesis, replacement"
D5927,"auricular prosthesis, replacement"
D5928,"orbital prosthesis, replacement"
D5929,"facial prosthesis, replacement"
D5931,"obturator prosthesis, surgical"
D5932,"obturator prosthesis, definitive"
D5933,"obturator prosthesis, modification"
D5934,mandibular resection prosthesis with guide flange
D5935,mandibular resection prosthesis without guide flange
D5936,"obturator prosthesis, interim"
D5937,trismus appliance (not for TMD treatment)
D5951,feeding aid
D5952,"speech aid prosthesis, pediatric"
D5953,"speech aid prosthesis, adult"
D5954,palatal augmentation prosthesis
D5955,"palatal lift prosthesis, definitive"
D5958,"palatal lift prosthesis, interim"
D5959,"palatal lift prosthesis, modification"
D5960,"speech aid prosthesis, modification"
D5982,surgical stent
D5983,radiation carrier
D5984,radiation shield
D5985,radiation cone locator
D5986,fluoride gel carrier
D5987,commissure splint
D5988,surgical splint
D5991,vesiculobullous disease medicament carrier
D5992,"adjust maxillofacial prosthetic appliance, by report"
D5993,"maintenance and cleaning of a maxillofacial prosthesis (extra- or intra-oral) other than required adjustments, by report"
D5994,periodontal medicament carrier with peripheral seal - laboratory processed
D5995,periodontal medicament carrier with peripheral seal - laboratory processed - maxillary
D5996,periodontal medicament carrier with peripheral seal - laboratory processed - mandibular
D5999,"unspecified maxillofacial prosthesis, by report"
D6010,surgical placement of implant body: endosteal implant
D6011,surgical access to an implant body (second stage implant surgery)
D6012,surgical placement of interim implant body for transitional prosthesis: endosteal implant
D6013,surgical placement of mini implant
D6040,surgical placement: eposteal implant
D6050,surgical placement: transosteal implant
D6051,interim abutment
D6052,semi-precision attachment abutment
D6053,implant/abutment supported removable denture for completely edentulous arch
D6054,implant/abutment supported removable denture for partially edentulous arch
D6055,connecting bar - implant supported or abutment supported
D6056,prefabricated abutment - includes modification and placement
D6057,custom fabricated abutment - includes placement
D6058,abutment supported porcelain/ceramic crown
D6059,abutment supported porcelain fused to metal crown (high noble metal)
D6060,abutment supported porcelain fused to metal crown (predominantly base metal)
D6061,abutment supported porcelain fused to metal crown (noble metal)
D6062,abutment supported cast metal crown (high noble metal)
D6063,abutment supported cast metal crown (predominantly base metal)
D6064,abutment supported cast metal crown (noble metal)
D6065,implant supported porcelain/ceramic crown
D6066,implant supported crown - porcelain fused to high noble alloys
D6067,implant supported crown - high noble alloys
D6068,abutment supported retainer for porcelain/ceramic FPD
D6069,abutment supported retainer for porcelain fused to metal FPD (high noble metal)
D6070,abutment supported retainer for porcelain fused to metal FPD (predominantly base metal)
D6071,abutment supported retainer for porcelain fused to metal FPD (noble metal)
D6072,abutment supported retainer for cast metal FPD (high noble metal)
D6073,abutment supported retainer for cast metal FPD (predominantly base metal)
D6074,abutment supported retainer for cast metal FPD (noble metal)
D6075,implant supported retainer for ceramic FPD
D6076,implant supported retainer for FPD - porcelain fused to high noble alloys
D6077,implant supported retainer for metal FPD - high noble alloys
D6078,implant/abutment supported fixed denture for completely edentulous arch
D6079,implant/abutment supported fixed denture for partially edentulous arch
D6080,"implant maintenance procedures when prostheses are removed and reinserted, including cleansing of prostheses and abutments"
D6081,"scaling and debridement in the presence of inflammation or mucositis of a single implant, including cleaning of the implant surfaces, without flap entry and closure"
D6082,implant supported crown - porcelain fused to predominantly base alloys
D6083,implant supported crown - porcelain fused to noble alloys
D6084,implant supported crown - porcelain fused to titanium and titanium alloys
D6085,provisional implant crown
D6086,implant supported crown - predominantly base alloys
D6087,implant supported crown - noble alloys
D6088,implant supported crown - titanium and titanium alloys
D6090,"repair implant supported prosthesis, by report"
D6091,"replacement of replaceable part of semi-precision or precision attachment (male or female component) of implant/abutment supported prosthesis, per attachment"
D6092,re-cement or re-bond implant/abutment supported crown
D6093,re-cement or re-bond implant/abutment supported fixed partial denture
D6094,abutment supported crown - titanium and titanium alloys
D6095,"repair implant abutment, by report"
D6096,remove broken implant retaining screw
D6097,abutment supported crown - porcelain fused to titanium and titanium alloys
D6098,implant supported retainer - porcelain fused to predominantly base alloys
D6099,implant supported retainer for FPD - porcelain fused to noble alloys
D6100,"implant removal, by report"
D6101,"debridement of a peri-implant defect or defects surrounding a single implant, and surface cleaning of the exposed implant surfaces, including flap entry and closure"
D6102,"debridement and osseous contouring of a peri-implant defect or defects surrounding a single implant and includes surface cleaning of the exposed implant surfaces, including flap entry and closure"
D6103,bone graft for repair of peri-implant defect - does not include flap entry and closure
D6104,bone graft at time of implant placement
D6110,implant /abutment supported removable denture for edentulous arch - maxillary
D6111,implant /abutment supported removable denture for edentulous arch - mandibular
D6112,implant /abutment supported removable denture for partially edentulous arch - maxillary
D6113,implant /abutment supported removable denture for partially edentulous arch - mandibular
D6114,implant /abutment supported fixed denture for edentulous arch - maxillary
D6115,implant /abutment supported fixed denture for edentulous arch - mandibular
D6116,implant /abutment supported fixed denture for partially edentulous arch - maxillary
D6117,implant /abutment supported fixed denture for partially edentulous arch - mandibular
D6118,implant/abutment supported interim fixed denture for edentulous arch - mandibular
D6119,implant/abutment supported interim fixed denture for edentulous arch - maxillary
D6120,implant supported retainer - porcelain fused to titanium and titanium alloys
D6121,implant supported retainer for metal FPD - predominantly base alloys
D6122,implant supported retainer for metal FPD - noble alloys
D6123,implant supported retainer for metal FPD - titanium and titanium alloys
D6190,"radiographic/surgical implant index, by report"
D6191,semi-precision abutment - placement
D6192,semi-precision attachment - placement
D6194,abutment supported retainer crown for FPD- titanium and titanium alloys
D6195,abutment supported retainer - porcelain fused to titanium and titanium alloys
D6199,"unspecified implant procedure, by report"
D6205,pontic - indirect resin based composite
D6210,pontic - cast high noble metal
D6211,pontic - cast predominantly base metal
D6212,pontic - cast noble metal
D6214,pontic - titanium and titanium alloys
D6240,pontic - porcelain fused to high noble metal
D6241,pontic - porcelain fused to predominantly base metal
D6242,pontic - porcelain fused to noble metal
D6243,pontic - porcelain fused to titanium and titanium alloys
D6245,pontic - porcelain/ceramic
D6250,pontic - resin with high noble metal
D6251,pontic - resin with predominantly base metal
D6252,pontic - resin with noble metal
D6253,provisional pontic - further treatment or completion of diagnosis necessary prior to final  impression
D6254,interim pontic
D6545,retainer - cast metal for resin bonded fixed prosthesis
D6548,retainer - porcelain/ceramic for resin bonded fixed prosthesis
D6549,retainer - for resin bonded fixed prosthesis
D6600,"retainer inlay - porcelain/ceramic, two surfaces"
D6601,"retainer inlay - porcelain/ceramic, three or more surfaces"
D6602,"retainer inlay - cast high noble metal, two surfaces"
D6603,"retainer inlay - cast high noble metal, three or more surfaces"
D6604,"retainer inlay - cast predominantly base metal, two surfaces"
D6605,"retainer inlay - cast predominantly base metal, three or more surfaces"
D6606,"retainer inlay - cast noble metal, two surfaces"
D6607,"retainer inlay - cast noble metal, three or more surfaces"
D6608,"retainer onlay - porcelain/ceramic, two surfaces"
D6609,"retainer onlay - porcelain/ceramic, three or more surfaces"
D6610,"retainer onlay - cast high noble metal, two surfaces"
D6611,"retainer onlay - cast high noble metal, three or more surfaces"
D6612,"retainer onlay - cast predominantly base metal, two surfaces"
D6613,"retainer onlay - cast predominantly base metal, three or more surfaces"
D6614,"retainer onlay - cast noble metal, two surfaces"
D6615,"retainer onlay - cast noble metal, three or more surfaces"
D6624,retainer inlay - titanium
D6634,retainer onlay - titanium
D6710,retainer crown - indirect resin based composite
D6720,retainer crown - resin with high noble metal
D6721,retainer crown - resin with predominantly base metal
D6722,retainer crown - resin with noble metal
D6740,retainer crown - porcelain/ceramic
D6750,retainer crown - porcelain fused to high noble metal
D6751,retainer crown - porcelain fused to predominantly base metal
