"RevCode","Description"
"1","Total Charges (reportable on paper claims only)"
"22","Skilled nursing facility prospective payment system (HIPPS)"
"23","Home health prospective payment system (HIPPS)"
"24","Inpatient rehab facility prospective payment system (PPS)"
"100","All-inclusive room and board plus ancillary"
"101","All-inclusive room and board"
"110","Room & Board-Private (One Bed)-General"
"111","Room & Board-Private (One Bed)-Medical/Surgical/GYN"
"112","Room & Board-Private (One Bed)-OB"
"113","Room & Board-Private (One Bed)-Pediatric"
"114","Room & Board-Private (One Bed)-Psychiatric"
"115","Room & Board-Private (One Bed)-Hospice"
"116","Room & Board-Private (One Bed)-Detoxification"
"117","Room & Board-Private (One Bed)-Oncology"
"118","Room & Board-Private (One Bed)-Rehabilitation"
"119","Room & Board-Private (One Bed)-Other"
"120","Room & Board-Semiprivate (Two-Beds)-General"
"121","Room & Board-Semiprivate (Two-Beds)-Medical/Surgical/GYN"
"122","Room & Board-Semiprivate (Two-Beds)-OB"
"123","Room & Board-Semiprivate (Two-Beds)-Pediatric"
"124","Room & Board-Semiprivate (Two-Beds)-Psychiatric"
"125","Room & Board-Semiprivate (Two-Beds)-Hospice"
"126","Room & Board-Semiprivate (Two-Beds)-Detoxification"
"127","Room & Board-Semiprivate (Two-Beds)-Oncology"
"128","Room & Board-Semiprivate (Two-Beds)-Rehabilitation"
"129","Room & Board-Semiprivate (Two-Beds)-Other"
"130","Room & Board-Three and Four Beds-General"
"131","Room & Board-Three and Four Beds-Medical/Surgical/GYN"
"132","Room & Board-Three and Four Beds-OB"
"133","Room & Board-Three and Four Beds-Pediatric"
"134","Room & Board-Three and Four Beds-Psychiatric"
"135","Room & Board-Three and Four Beds-Hospice"
"136","Room & Board-Three and Four Beds-Detoxification"
"137","Room & Board-Three and Four Beds-Oncology"
"138","Room & Board-Three and Four Beds-Rehabilitation"
"139","Room & Board-Three and Four Beds-Other"
"140","Room & Board-Deluxe Private-General"
"141","Room & Board-Deluxe Private-Medical/Surgical/GYN"
"142","Room & Board-Deluxe Private-OB"
"143","Room & Board-Deluxe Private-Pediatric"
"144","Room & Board-Deluxe-Psychiatric"
"145","Room & Board-Deluxe Private-Hospice"
"146","Room & Board-Deluxe Private-Detoxification"
"147","Room & Board-Deluxe Private-Oncology"
"148","Room & Board-Deluxe Private-Rehabilitation"
"149","Room & Board-Deluxe Private-Other"
"150","Room & Board-Ward-General"
"151","Room & Board-Ward-Medical/Surgical/GYN"
"152","Room & Board-Ward-OB"
"153","Room & Board-Ward-Pediatric"
"154","Room & Board-Ward-Psychiatric"
"155","Room & Board-Ward-Hospice"
"156","Room & Board-Ward-Detoxification"
"157","Room & Board-Ward-Oncology"
"158","Room & Board-Ward-Rehabilitation"
"159","Room & Board-Ward-Other"
"160","Room & Board-Other-General"
"164","Room & Board-Other-Sterile Environment"
"167","Room & Board-Other-Self-Care"
"169","Room & Board-Other-Other"
"170","Nursery-General"
"171","Nursery-Newborn-Level I"
"172","Nursery-Newborn-Level II"
"173","Nursery-Newborn-Level III"
"174","Nursery-Newborn-Level IV"
"179","Nursery-Other"
"180","Leave of Absence-General"
"182","Leave of Absence-Patient Convenience"
"183","Leave of Absence-Therapeutic Leave"
"185","Leave of Absence-Nursing Home (for Hospitalization)"
"189","Leave of Absence-Other Leave of Absence"
"190","Subacute Care-General"
"191","Subacute Care-Level I"
"192","Subacute Care-Level II"
"193","Subacute Care-Level III"
"194","Subacute Care-Level IV"
"199","Subacute Care-Other Subacute Care"
"200","Intensive Care-General"
"201","Intensive Care-Surgical"
"202","Intensive Care-Medical"
"203","Intensive Care-Pediatric"
"204","Intensive Care-Psychiatric"
"206","Intensive Care-Intermediate ICU"
"207","Intensive Care-Burn Care"
"208","Intensive Care-Trauma"
"209","Intensive Care-Other Intensive Care"
"210","Coronary Care-General"
"211","Coronary Care-Myocardial Infarction"
"212","Coronary Care-Pulmonary Care"
"213","Coronary Care-Heart Transplant"
"214","Coronary Care-Intermediate CCU"
"219","Coronary Care-Other Coronary Care"
"220","Special Charges-General"
"221","Special Charges-Admission charge"
"222","Special Charges-Technical Support Charge"
"223","Special Charges-UR Service Charge"
"224","Special Charges-Late Discharge, Medically Necessary"
"229","Special Charges-Other Special Charges"
"230","Incremental Nursing Charge-General"
"231","Incremental Nursing Charge-Nursery"
"232","Incremental Nursing Charge-OB"
"233","Incremental Nursing Charge-ICU"
"234","Incremental Nursing Charge-CCU"
"235","Incremental Nursing Charge-Hospice"
"239","Incremental Nursing Charge-Other"
"240","All-Inclusive Ancillary-General"
"241","All-Inclusive Ancillary-Basic"
"242","All-Inclusive Ancillary-Comprehensive"
"243","All-Inclusive Ancillary-Specialty"
"249","All-Inclusive Ancillary-Other Inclusive Ancillary"
"250","Pharmacy-General"
"251","Pharmacy-Generic Drugs"
"252","Pharmacy-Nongeneric Drugs"
"253","Pharmacy-Take-Home Drugs"
"254","Pharmacy-Drugs Incident to Other Diagnostic Services"
"255","Pharmacy-Drugs Incident to Radiology"
"256","Pharmacy-Experimental Drugs"
"257","Pharmacy-Nonprescription"
"258","Pharmacy-IV Solutions"
"259","Pharmacy-Other Pharmacy"
"260","IV Therapy-General"
"261","IV Therapy-Infusion Pump"
"262","IV Therapy-IV Therapy/Pharmacy Services"
"263","IV Therapy-IV Therapy/Drug/Supply Delivery"
"264","IV Therapy-IV Therapy/Supplies"
"269","IV Therapy-Other IV Therapy"
"270","Medical/Surgical Supplies and Devices-General"
"271","Medical/Surgical Supplies and Devices-Nonsterile Supply"
"272","Medical/Surgical Supplies and Devices-Sterile Supply"
"273","Medical/Surgical Supplies and Devices-Take-Home Supplies"
"274","Medical/Surgical Supplies and Devices-Prosthetic/Orthotic Devices"
"275","Medical/Surgical Supplies and Devices-Pacemaker"
"276","Medical/Surgical Supplies and Devices-Intraocular Lens"
"277","Medical/Surgical Supplies and Devices-Oxygen-Take-Home"
"278","Medical/Surgical Supplies and Devices-Other Implants"
"279","Medical/Surgical Supplies and Devices-Other Supplies/Devices"
"280","Oncology-General"
"289","Oncology-Other"
"290","Durable Medical Equipment (Other than renal)-General"
"291","Durable Medical Equipment (Other than renal)-Rental"
"292","Durable Medical Equipment (Other than renal)-Purchase of New DME"
"293","Durable Medical Equipment (Other than renal)-Purchase of Used DME"
"294","Durable Medical Equipment (Other than renal)-Supplies/Drugs for DME effectiveness"
"299","Durable Medical Equipment (Other than renal)-Other Equipment"
"300","Laboratory-General"
"301","Laboratory-Chemistry"
"302","Laboratory-Immunology"
"303","Laboratory-Renal Patient (Home)"
"304","Laboratory-Nonroutine Dialysis"
"305","Laboratory-Hematology"
"306","Laboratory-Bacteriology and Microbiology"
"307","Laboratory-Urology"
"309","Laboratory-Other Laboratory"
"310","Laboratory Pathology-General"
"311","Laboratory Pathology-Cytology"
"312","Laboratory Pathology-Histology"
"314","Laboratory Pathology-Biopsy"
"319","Laboratory Pathology-Other"
"320","Radiology-Diagnostic-General"
"321","Radiology-Diagnostic-Angiocardiography"
"322","Radiology-Diagnostic-Arthrography"
"323","Radiology-Diagnostic-Arteriography"
"324","Radiology-Diagnostic-Chest X-ray"
"329","Radiology-Diagnostic-Other"
"330","Radiology-Therapeutic and/or Chemotherapy Administration-General"
"331","Radiology-Therapeutic and/or Chemotherapy Administration-Chemotherapy Administration-Injected"
"332","Radiology-Therapeutic and/or Chemotherapy Administration-Chemotherapy-Oral"
"333","Radiology-Therapeutic and/or Chemotherapy Administration-Radiation Therapy"
"335","Radiology-Therapeutic and/or Chemotherapy Administration-Chemotherapy Administration-IV"
"339","Radiology-Therapeutic and/or Chemotherapy Administration-Other"
"340","Nuclear Medicine-General"
"341","Nuclear Medicine-Diagnostic Procedures"
"342","Nuclear Medicine-Therapeutic Procedures"
"343","Nuclear Medicine-Diagnostic Radiopharmaceuticals"
"344","Nuclear Medicine-Therapeutic Radiopharmaceuticals"
"349","Nuclear Medicine-Other"
"350","CT Scan-General"
"351","CT Scan-Head Scan"
"352","CT Scan-Body Scan"
"359","CT Scan-Other CT Scans"
"360","Operating Room Services-General"
"361","Operating Room Services-Minor Surgery"
"362","Operating Room Services-Organ Transplant-Other than Kidney"
"367","Operating Room Services-Kidney Transplant"
"369","Operating Room Services-Other OR services"
"370","Anesthesia-General"
"371","Anesthesia-Anesthesia Incident to Radiology"
"372","Anesthesia-Anesthesia Incident to Other Diagnostic Services"
"374","Anesthesia-Acupuncture"
"379","Anesthesia-Other Anesthesia"
"380","Blood and Blood Components-General"
"381","Blood and Blood Components-Packed red cells"
"382","Blood and Blood Components-Whole Blood"
"383","Blood and Blood Components-Plasma"
"384","Blood and Blood Components-Platelets"
"385","Blood and Blood Components-Leukocytes"
"386","Blood and Blood Components-Other Components"
"387","Blood and Blood Components-Other Derivatives (Cryoprecipitates))"
"389","Blood and Blood Components-Other Blood"
"390","Administration, Processing and Storage for Blood and Blood Components-General"
"391","Administration, Processing and Storage for Blood and Blood Components-Administration (e.g., transfusions)"
"392","Administration, Processing and Storage for Blood and Blood Components-Processing and Storage"
"399","Administration, Processing and Storage for Blood and Blood Components-Other Processing and Storage"
"400","Other Imaging Services-General"
"401","Other Imaging Services-Diagnostic Mammography"
"402","Other Imaging Services-Ultrasound"
"403","Other Imaging Services-Screening Mammography"
"404","Other Imaging Services-Positron Emission Tomography (PET)"
"409","Other Imaging Services-Other Imaging Services"
"410","Respiratory Services-General"
"412","Respiratory Services-Inhalation Services"
"413","Respiratory Services-Hyperbaric Oxygen Therapy"
"419","Respiratory Services-Other Respiratory Services"
"420","Physical Therapy-General"
"421","Physical Therapy-Visit Charge"
"422","Physical Therapy-Hourly Charge"
"423","Physical Therapy-Group Rate"
"424","Physical Therapy-Evaluation or Reevaluation"
"429","Physical Therapy-Other Physical Therapy"
"430","Occupational Therapy-General"
"431","Occupational Therapy-Visit Charge"
"432","Occupational Therapy-Hourly Charge"
"433","Occupational Therapy-Group Rate"
"434","Occupational Therapy-Evaluation or Reevaluation"
"439","Occupational Therapy-Other Occupational Therapy"
"440","Speech Therapy-Language Pathology-General"
"441","Speech Therapy-Language Pathology-Visit Charge"
"442","Speech Therapy-Language Pathology-Hourly Charge"
"443","Speech Therapy-Language Pathology-Group Rate"
"444","Speech Therapy-Language Pathology-Evaluation or Reevaluation"
"449","Speech Therapy-Language Pathology-Other Speech-Language Pathology"
"450","Emergency Room-General"
"451","Emergency Room-EMTALA Emergency Medical Screening Services"
"452","Emergency Room-ER Beyond EMTALA"
"456","Emergency Room-Urgent Care"
"459","Emergency Room-Other Emergency Room"
"460","Pulmonary Function-General"
"469","Pulmonary Function-Other Pulmonary Function"
"470","Audiology-General"
"471","Audiology-Diagnostic"
"472","Audiology-Treatment"
"479","Audiology-Other Audiology"
"480","Cardiology-General"
"481","Cardiology-Cardiac Cath Lab"
"482","Cardiology-Stress Test"
"483","Cardiology-Echocardiology"
"489","Cardiology-Other Cardiology"
"490","Ambulatory Surgical Care-General"
"499","Ambulatory Surgical Care-Other Ambulatory Surgical Care"
"500","Outpatient Services-General"
"509","Outpatient Services-Other Outpatient Services"
"510","Clinic-General"
"511","Clinic-Chronic Pain Center"
"512","Clinic-Dental Clinic"
"513","Clinic-Psychiatric Clinic"
"514","Clinic-OB/GYN Clinic"
"515","Clinic-Pediatric Clinic"
"516","Clinic-Urgent Care Clinic"
"517","Clinic-Family Practice Clinic"
"519","Clinic-Other Clinic"
"520","Freestanding Clinic-General"
"521","Freestanding Clinic-Clinic visit by member to RHC/FQHC"
"522","Freestanding Clinic-Home visit by RHC/FQHC Practitioner"
"523","Freestanding Clinic-Family Practice Clinic"
"524","Freestanding Clinic-Visit by RHC/FQHC Practitioner to a Member in a SNF or Skilled Swing Bed in a Covered Part A Stay"
"525","Freestanding Clinic-Visit by RHC/FQHC Practitioner to a Member in a SNF (Not in a Covered Part A Stay) or NF or ICF MR or Other Residential Facility"
"526","Freestanding Clinic-Urgent Care Clinic"
"527","Freestanding Clinic-Visiting Nurse Service (s) to a Member's Home When in a Home Health Shortage Area"
"528","Freestanding Clinic-Visit by RHC/FQHC Practitioner to Other Non-RHC/FQHC Site (e.g. Scene of Accident)"
"529","Freestanding Clinic-Other Freestanding Clinic"
"530","Osteopathic Services-General"
"531","Osteopathic Services-Osteopathic Therapy"
